1;house16.png;applepie.png;house16.png
2;banana.png;banana.png;popcorn.png
3;hockeystick.png;hockeystick.png;mailman3.png
4;d.png;d.png;eggs.png
5;8.png;8.png;bicycle2.png
6;schoolbusdriver3.png;crossinggard.png;schoolbusdriver3.png
7;23.png;baseball.png;23.png
8;14.png;14.png;house13.png
9;milk.png;milk.png;14.png
10;basketball.png;basketball.png;fries.png
11;apple.png;w.png;apple.png
12;train3.png;q.png;train3.png
13;running.png;running.png;firefighter.png
14;schoolbusdriver.png;schoolbusdriver.png;wagon.png
15;e.png;e.png;14.png
16;macandcheese.png;macandcheese.png;crossinggard3.png
17;n.png;n.png;crossinggard2.png
18;1.png;1.png;m.png
19;y.png;y.png;house5.png
20;10.png;basketball.png;10.png
